user_id,content_id,session_date,watched_seconds,total_seconds,completion_rate,genre,primary_genre,content_type,rating,subscription_type,user_age,country,monthly_revenue,duration_bucket
user_001,content_006,2024-02-01,2552,3895,0.655198973042362,documentary,documentary,series,7.6,premium,32,DE,13.99,Long
user_001,content_016,2024-02-19,225,2385,0.09433962264150944,thriller,thriller,documentary,7.6,premium,32,DE,13.99,Short
user_001,content_020,2024-02-08,619,1871,0.33083912346338856,sci-fi,sci-fi,movie,6.4,premium,32,DE,13.99,Short
user_001,content_022,2024-02-28,902,3872,0.23295454545454544,comedy,comedy,series,7.1,premium,32,DE,13.99,Long
user_001,content_028,2024-02-28,785,4056,0.1935404339250493,romance,romance,movie,9.0,premium,32,DE,13.99,Long
user_001,content_033,2024-03-20,465,1409,0.33002129169623845,thriller,thriller,series,8.3,premium,32,DE,13.99,Very Short
user_001,content_047,2024-01-17,1341,3501,0.38303341902313626,romance,romance,series,8.1,premium,32,DE,13.99,Long
user_001,content_048,2024-02-07,446,3232,0.1379950495049505,thriller,thriller,movie,7.2,premium,32,DE,13.99,Medium
user_001,content_053,2024-01-30,5090,8349,0.6096538507605701,comedy,comedy,movie,7.1,premium,32,DE,13.99,Very Long
user_001,content_061,2024-02-11,580,4387,0.13220879872350125,sci-fi,sci-fi,movie,6.9,premium,32,DE,13.99,Very Long
user_001,content_071,2024-02-22,591,3698,0.15981611681990265,action,action,series,9.4,premium,32,DE,13.99,Long
user_001,content_079,2024-01-31,87,2587,0.03362968689601856,comedy,comedy,movie,8.5,premium,32,DE,13.99,Medium
user_001,content_081,2024-01-27,3737,10179,0.3671284016111602,romance,romance,documentary,9.3,premium,32,DE,13.99,Very Long
user_001,content_087,2024-02-18,257,3235,0.0794435857805255,thriller,thriller,movie,9.2,premium,32,DE,13.99,Medium
user_001,content_090,2024-03-16,206,2616,0.07874617737003058,comedy,comedy,documentary,6.1,premium,32,DE,13.99,Medium
user_001,content_093,2024-02-06,1915,5776,0.3315443213296399,drama,drama,documentary,9.4,premium,32,DE,13.99,Very Long
